date,open,close,high,low,volume,volume.1
2025-04-16,54.9,48.9,60.06,48.46,178494.0,178494.0
2025-04-17,45.01,46.24,47.0,43.5,145890.0,145890.0
2025-04-18,45.12,41.21,45.63,41.15,110368.0,110368.0
2025-04-21,40.0,38.37,40.6,38.12,97544.0,97544.0
2025-04-22,37.99,39.43,40.8,37.81,105593.0,105593.0
2025-04-23,38.01,37.4,38.38,37.05,93606.0,93606.0
2025-04-24,37.03,36.41,37.3,35.97,67870.0,67870.0
2025-04-25,36.51,36.34,37.02,36.23,49803.0,49803.0
2025-04-28,36.1,35.74,36.36,35.4,37073.0,37073.0
2025-04-29,35.68,35.71,36.17,35.6,35052.0,35052.0
2025-04-30,35.6,35.41,35.92,35.4,30987.0,30987.0
2025-05-06,35.72,36.53,36.64,35.72,48671.0,48671.0
2025-05-07,36.6,38.44,40.18,36.27,94531.0,94531.0
2025-05-08,36.99,37.66,37.93,36.96,69224.0,69224.0
2025-05-09,37.32,36.51,37.58,36.5,42503.0,42503.0
2025-05-12,36.7,37.31,37.42,36.7,40518.0,40518.0
2025-05-13,37.58,37.43,38.4,36.9,53357.0,53357.0
2025-05-14,37.5,38.52,39.49,37.42,77373.0,77373.0
2025-05-15,39.3,40.25,40.58,37.99,86342.0,86342.0
2025-05-16,39.15,39.4,39.95,38.82,58925.0,58925.0
2025-05-19,39.39,38.62,39.4,38.08,46612.0,46612.0
2025-05-20,38.6,38.56,39.2,38.3,36443.0,36443.0
2025-05-21,38.63,40.86,42.2,37.7,83593.0,83593.0
2025-05-22,39.99,39.4,40.28,38.92,52068.0,52068.0
2025-05-23,39.4,40.79,41.76,38.89,75237.0,75237.0
2025-05-26,40.12,41.5,42.59,40.1,80603.0,80603.0
2025-05-27,41.05,41.5,42.48,40.8,62141.0,62141.0
2025-05-28,41.03,39.18,41.5,39.01,60116.0,60116.0
2025-05-29,38.65,39.6,39.89,38.65,41308.0,41308.0
2025-05-30,39.29,38.45,39.49,38.16,35867.0,35867.0
2025-06-03,38.11,38.0,38.8,38.0,27636.0,27636.0
2025-06-04,38.0,38.7,39.19,37.68,34889.0,34889.0
2025-06-05,38.5,38.35,38.82,38.1,23202.0,23202.0
2025-06-06,38.15,38.69,39.98,38.15,44577.0,44577.0
2025-06-09,38.6,40.05,40.6,38.56,50155.0,50155.0
2025-06-10,39.77,40.19,40.75,39.43,50234.0,50234.0
2025-06-11,40.1,39.95,40.1,39.63,27957.0,27957.0
2025-06-12,39.96,39.85,40.22,39.62,33632.0,33632.0
2025-06-13,39.53,38.68,39.85,38.53,28760.0,28760.0
2025-06-16,38.88,39.35,39.85,38.68,21860.0,21860.0
2025-06-17,39.35,39.0,40.8,38.77,27321.0,27321.0
2025-06-18,39.0,38.28,39.02,38.28,20315.0,20315.0
2025-06-19,38.21,37.1,38.56,37.0,26529.0,26529.0
