date,open,close,high,low,volume,volume
2022-12-05,39.28,39.65,39.88,38.24,50973.0,50973.0
2022-12-06,38.88,37.52,39.53,36.99,65578.0,65578.0
2022-12-07,37.97,36.21,38.25,35.93,55176.0,55176.0
2022-12-08,36.2,35.04,36.84,34.5,58228.0,58228.0
2022-12-09,35.04,33.51,35.04,33.1,76535.0,76535.0
2022-12-12,33.53,35.0,35.09,33.44,52184.0,52184.0
2022-12-13,34.51,34.1,35.1,33.88,34327.0,34327.0
2022-12-14,33.55,33.33,34.47,33.1,29852.0,29852.0
2022-12-15,32.89,34.85,35.56,32.89,53084.0,53084.0
2022-12-16,34.76,33.24,34.76,33.07,35779.0,35779.0
2022-12-19,33.25,32.89,33.74,32.7,19009.0,19009.0
2022-12-20,33.55,31.71,33.55,31.45,35267.0,35267.0
2022-12-21,31.72,31.2,32.35,31.0,31147.0,31147.0
2022-12-22,31.19,30.97,31.79,30.18,28716.0,28716.0
2022-12-23,31.01,34.07,34.07,30.95,47409.0,47409.0
2022-12-26,34.1,34.2,34.6,33.41,58200.0,58200.0
2022-12-27,34.2,34.5,35.56,33.9,59342.0,59342.0
2022-12-28,34.19,34.52,35.05,33.66,45161.0,45161.0
2022-12-29,34.29,35.99,37.5,33.91,93703.0,93703.0
2022-12-30,34.56,35.26,35.95,33.88,70661.0,70661.0
2023-01-03,35.0,38.49,38.79,34.68,116138.0,116138.0
2023-01-04,38.11,38.0,38.54,36.9,85913.0,85913.0
2023-01-05,38.0,38.84,39.49,37.3,58443.0,58443.0
2023-01-06,37.7,37.2,38.5,36.89,52307.0,52307.0
2023-01-09,37.11,37.13,38.5,37.04,37560.0,37560.0
2023-01-10,37.36,37.18,37.39,36.2,29844.0,29844.0
2023-01-11,37.36,35.8,37.73,35.55,46247.0,46247.0
2023-01-12,35.61,36.27,37.02,35.24,40135.0,40135.0
2023-01-13,36.28,36.69,36.84,35.41,32367.0,32367.0
2023-01-16,37.58,36.36,38.51,35.5,50131.0,50131.0
2023-01-17,37.19,34.69,37.35,34.3,39049.0,39049.0
2023-01-18,34.15,38.16,38.16,33.96,80657.0,80657.0
2023-01-19,38.0,39.08,40.0,37.2,98176.0,98176.0
2023-01-20,39.09,37.8,39.99,37.78,67619.0,67619.0
2023-01-30,38.43,40.29,40.79,37.21,91578.0,91578.0
2023-01-31,39.88,39.74,40.38,39.28,38759.0,38759.0
2023-02-01,39.21,41.06,41.5,39.21,46965.0,46965.0
2023-02-02,40.76,39.0,43.39,38.89,64120.0,64120.0
2023-02-03,39.0,39.7,40.28,38.18,50847.0,50847.0
2023-02-06,39.63,40.25,41.16,39.57,49801.0,49801.0
2023-02-07,40.01,39.0,40.37,38.64,31121.0,31121.0
2023-02-08,38.7,38.96,39.39,38.3,20840.0,20840.0
2023-02-09,38.96,38.0,38.96,37.5,53969.0,53969.0
2023-02-10,37.8,38.05,39.3,37.8,36720.0,36720.0
2023-02-13,37.99,37.96,38.46,37.01,48574.0,48574.0
2023-02-14,38.39,37.9,39.3,37.6,43396.0,43396.0
2023-02-15,37.51,38.09,38.92,37.02,51910.0,51910.0
2023-02-16,37.98,37.21,38.65,37.01,46115.0,46115.0
2023-02-17,36.82,35.63,37.17,35.4,56925.0,56925.0
2023-02-20,35.95,35.44,35.96,34.6,36759.0,36759.0
2023-02-21,35.06,36.0,36.65,35.06,32578.0,32578.0
2023-02-22,35.61,36.18,36.88,35.51,24555.0,24555.0
2023-02-23,36.17,34.97,36.17,34.6,36708.0,36708.0
2023-02-24,34.97,35.47,35.75,34.88,26928.0,26928.0
2023-02-27,35.32,35.22,35.79,34.85,22881.0,22881.0
2023-02-28,36.26,35.92,37.7,35.48,60974.0,60974.0
2023-03-01,35.5,36.71,36.98,35.5,47519.0,47519.0
2023-03-02,36.7,35.83,36.85,35.15,40430.0,40430.0
2023-03-03,35.5,35.54,35.98,34.66,40856.0,40856.0
2023-03-06,35.6,34.95,35.85,34.72,22237.0,22237.0
2023-03-07,34.81,34.0,35.26,34.0,24732.0,24732.0
2023-03-08,34.3,36.3,36.49,34.0,52959.0,52959.0
2023-03-09,36.53,36.26,36.68,35.41,30051.0,30051.0
2023-03-10,35.92,35.77,36.57,35.51,22069.0,22069.0
2023-03-13,35.5,38.08,38.35,34.96,60355.0,60355.0
2023-03-14,38.08,38.65,39.46,37.8,79855.0,79855.0
2023-03-15,38.75,38.71,39.29,38.19,35101.0,35101.0
2023-03-16,38.33,38.82,39.4,37.86,36720.0,36720.0
2023-03-17,39.03,39.56,40.66,38.81,50887.0,50887.0
2023-03-20,39.47,38.6,39.47,38.0,48173.0,48173.0
2023-03-21,38.56,39.55,39.63,38.11,27766.0,27766.0
2023-03-22,39.2,39.0,39.85,38.67,26878.0,26878.0
2023-03-23,38.87,38.01,38.99,37.27,49900.0,49900.0
2023-03-24,38.25,37.74,38.45,37.0,36542.0,36542.0
2023-03-27,38.0,38.56,40.5,37.6,59398.0,59398.0
2023-03-28,38.0,36.6,38.8,36.01,76021.0,76021.0
2023-03-29,36.44,33.9,36.63,33.62,94281.0,94281.0
2023-03-30,33.84,33.3,34.38,33.13,37665.0,37665.0
2023-03-31,33.16,33.35,33.59,32.63,31267.0,31267.0
2023-04-03,33.68,36.69,36.69,33.49,74297.0,74297.0
2023-04-04,37.0,37.06,38.11,36.19,92627.0,92627.0
2023-04-06,36.13,37.38,38.55,36.11,70470.0,70470.0
2023-04-07,37.34,38.27,39.11,37.26,60564.0,60564.0
2023-04-10,38.26,36.1,38.55,35.8,55962.0,55962.0
2023-04-11,36.0,36.1,36.48,35.64,29830.0,29830.0
2023-04-12,35.86,38.07,38.71,35.51,61055.0,61055.0
2023-04-13,37.53,40.22,41.88,37.51,152672.0,152672.0
2023-04-14,39.87,38.6,41.63,36.26,189014.0,189014.0
2023-04-17,37.54,34.74,37.63,34.74,133434.0,133434.0
2023-04-18,33.35,34.45,34.98,32.8,73219.0,73219.0
2023-04-19,34.19,33.88,34.48,33.37,63500.0,63500.0
2023-04-20,33.28,34.45,34.75,33.28,44737.0,44737.0
2023-04-21,34.08,32.81,34.9,32.78,52627.0,52627.0
2023-04-24,33.0,30.92,33.2,30.81,80776.0,80776.0
2023-04-25,31.05,31.36,32.18,30.75,64606.0,64606.0
2023-04-26,30.8,29.0,31.35,28.49,82909.0,82909.0
2023-04-27,28.77,29.01,29.59,28.55,44558.0,44558.0
2023-04-28,28.78,30.44,30.64,28.78,40763.0,40763.0
2023-05-04,30.26,29.84,31.2,28.85,42870.0,42870.0
2023-05-05,29.44,32.82,32.82,29.44,77105.0,77105.0
2023-05-08,33.08,32.9,33.2,31.67,71018.0,71018.0
2023-05-09,32.38,31.71,32.99,31.4,44545.0,44545.0
2023-05-10,31.58,31.92,32.3,31.14,34577.0,34577.0
2023-05-11,32.0,31.45,32.37,31.28,27028.0,27028.0
2023-05-12,31.13,31.57,31.9,31.08,22633.0,22633.0
2023-05-15,31.45,30.57,31.5,30.2,32531.0,32531.0
2023-05-16,30.61,29.31,30.62,29.24,34184.0,34184.0
2023-05-17,29.29,29.56,29.82,29.05,32788.0,32788.0
2023-05-18,29.59,30.59,31.56,29.33,51934.0,51934.0
2023-05-19,30.37,30.54,31.0,30.19,24237.0,24237.0
2023-05-22,30.38,29.83,30.55,29.38,35444.0,35444.0
2023-05-23,30.18,28.7,30.18,28.68,40187.0,40187.0
2023-05-24,28.55,28.85,28.91,27.98,25037.0,25037.0
2023-05-25,29.12,28.4,30.27,28.24,37206.0,37206.0
2023-05-26,28.38,31.24,31.24,28.0,67038.0,67038.0
2023-05-29,31.2,32.04,33.33,30.83,95945.0,95945.0
2023-05-30,31.79,32.6,33.0,31.5,48538.0,48538.0
2023-05-31,32.71,32.86,33.69,32.62,57349.0,57349.0
2023-06-01,32.6,32.61,33.07,32.37,37122.0,37122.0
2023-06-02,32.54,32.05,32.83,31.9,32356.0,32356.0
2023-06-05,32.33,32.2,32.45,31.65,27564.0,27564.0
2023-06-06,32.3,31.13,32.35,31.13,18852.0,18852.0
2023-06-07,31.3,32.69,33.38,30.95,36020.0,36020.0
2023-06-08,32.36,31.78,32.6,31.54,20609.0,20609.0
2023-06-09,31.78,32.47,32.61,31.37,26122.0,26122.0
2023-06-12,32.4,31.81,33.32,31.66,34837.0,34837.0
2023-06-13,32.0,32.17,32.2,31.2,18011.0,18011.0
2023-06-14,32.12,32.82,32.86,31.7,33506.0,33506.0
2023-06-15,32.57,31.46,32.74,31.4,35672.0,35672.0
2023-06-16,31.41,32.45,32.83,30.87,35106.0,35106.0
2023-06-19,32.48,33.21,33.86,32.25,36240.0,36240.0
2023-06-20,33.06,33.25,33.7,32.81,35605.0,35605.0
2023-06-21,33.01,31.78,33.11,31.78,26774.0,26774.0
2023-06-26,31.7,30.22,31.77,30.15,26922.0,26922.0
2023-06-27,30.23,29.7,30.58,29.3,41075.0,41075.0
2023-06-28,29.72,28.64,29.97,28.1,38527.0,38527.0
2023-06-29,28.65,31.5,31.5,28.49,99935.0,99935.0
2023-06-30,30.86,32.45,33.39,30.4,103396.0,103396.0
2023-07-03,32.37,34.02,34.4,32.09,108823.0,108823.0
2023-07-04,33.78,35.28,35.35,33.78,76426.0,76426.0
2023-07-05,35.0,33.92,35.5,33.69,40560.0,40560.0
2023-07-06,34.36,33.46,34.97,33.2,41512.0,41512.0
2023-07-07,33.21,30.12,33.28,30.11,78068.0,78068.0
2023-07-10,29.96,29.16,31.53,28.93,80456.0,80456.0
2023-07-11,29.14,28.64,29.46,28.2,75249.0,75249.0
2023-07-12,28.64,27.51,28.65,27.43,57745.0,57745.0
2023-07-13,27.47,27.13,27.49,26.09,73297.0,73297.0
2023-07-14,27.0,28.37,28.83,26.9,75588.0,75588.0
2023-07-17,27.87,27.38,27.95,27.0,57354.0,57354.0
2023-07-18,27.38,26.26,27.47,26.17,54597.0,54597.0
2023-07-19,26.27,25.57,26.49,25.51,47477.0,47477.0
2023-07-20,25.67,25.03,25.67,24.97,39048.0,39048.0
2023-07-21,25.01,25.16,25.55,24.89,34693.0,34693.0
2023-07-24,25.02,24.97,25.8,24.8,45618.0,45618.0
2023-07-25,25.27,25.45,25.49,24.92,35333.0,35333.0
2023-07-26,25.45,24.88,25.45,24.65,40803.0,40803.0
2023-07-27,24.88,24.46,25.0,24.38,28933.0,28933.0
2023-07-28,24.41,24.33,24.62,24.0,30185.0,30185.0
2023-07-31,24.48,24.25,24.62,24.13,31137.0,31137.0
2023-08-01,24.24,23.97,24.25,23.8,35750.0,35750.0
2023-08-02,23.99,24.88,25.09,23.75,75532.0,75532.0
2023-08-03,24.57,25.47,25.55,24.5,75475.0,75475.0
2023-08-04,25.44,25.89,26.12,25.12,75179.0,75179.0
2023-08-07,25.85,26.03,26.56,25.75,48113.0,48113.0
2023-08-08,25.94,26.26,26.62,25.64,49913.0,49913.0
2023-08-09,26.1,25.42,26.53,25.33,73030.0,73030.0
2023-08-10,25.37,25.12,25.95,24.8,54059.0,54059.0
2023-08-11,25.12,24.37,25.32,24.36,34583.0,34583.0
2023-08-14,24.25,25.54,25.88,24.05,61015.0,61015.0
2023-08-15,25.64,24.78,25.86,24.61,41392.0,41392.0
2023-08-16,25.16,23.96,25.19,23.91,42721.0,42721.0
2023-08-17,23.96,24.23,24.58,23.13,39966.0,39966.0
2023-08-18,24.21,24.63,25.48,24.08,60350.0,60350.0
2023-08-21,24.55,24.1,25.26,24.1,36255.0,36255.0
2023-08-22,24.31,24.7,24.95,23.92,41850.0,41850.0
2023-08-23,24.7,24.25,25.15,24.18,36929.0,36929.0
2023-08-24,24.22,23.63,24.6,23.56,35598.0,35598.0
2023-08-25,23.6,22.75,23.62,22.58,35247.0,35247.0
2023-08-28,23.45,22.41,24.0,22.41,43982.0,43982.0
2023-08-29,22.02,23.72,23.83,22.01,49147.0,49147.0
2023-08-30,23.69,24.48,24.6,23.48,46096.0,46096.0
2023-08-31,24.23,24.21,24.52,24.01,27380.0,27380.0
2023-09-01,24.21,23.18,24.47,22.98,40306.0,40306.0
2023-09-04,23.19,22.98,23.54,22.5,43623.0,43623.0
2023-09-05,22.9,22.92,23.36,22.7,34075.0,34075.0
2023-09-06,22.78,22.85,22.92,22.4,28088.0,28088.0
2023-09-07,23.0,23.43,25.14,22.78,117972.0,117972.0
2023-09-08,23.39,22.99,23.39,22.16,95286.0,95286.0
2023-09-11,22.83,22.86,23.12,22.18,61005.0,61005.0
2023-09-12,22.88,22.46,23.0,22.45,38182.0,38182.0
2023-09-13,22.38,21.91,22.46,21.69,47439.0,47439.0
2023-09-14,21.7,21.58,21.85,21.34,29128.0,29128.0
2023-09-15,21.6,21.23,21.69,21.17,25909.0,25909.0
2023-09-18,21.11,21.65,21.75,21.08,36381.0,36381.0
2023-09-19,21.6,20.98,21.61,20.97,26083.0,26083.0
2023-09-20,20.98,20.85,21.25,20.84,23198.0,23198.0
