date,open,close,high,low,volume
2024-08-27,12.57582197,12.32815808,12.57582197,12.27312166,5757620.0
2024-08-28,12.30063987,12.02545777,12.30063987,11.75027567,12894883.0
2024-08-29,11.99793956,12.49326734,12.52078555,11.99793956,10820740.0
2024-08-30,4.53,4.48,4.6,4.45,139342.0
2024-09-02,4.49,4.39,4.53,4.39,121806.0
2024-09-03,4.4,4.46,4.47,4.36,75010.0
2024-09-04,4.42,4.45,4.53,4.39,76450.0
2024-09-05,4.49,4.5,4.54,4.44,54699.0
2024-09-06,4.53,4.43,4.53,4.42,60853.0
2024-09-09,4.43,4.4,4.45,4.37,60045.0
2024-09-10,4.41,4.4,4.42,4.31,62304.0
2024-09-11,4.39,4.36,4.41,4.33,39394.0
2024-09-12,4.37,4.38,4.49,4.37,65406.0
2024-09-13,4.42,4.3,4.42,4.29,58294.0
2024-09-18,4.27,4.31,4.34,4.23,44664.0
2024-09-19,4.33,4.43,4.48,4.31,73263.0
2024-09-20,4.43,4.36,4.43,4.34,73941.0
2024-09-23,4.36,4.37,4.42,4.33,55796.0
2024-09-24,4.4,4.56,4.56,4.39,106801.0
2024-09-25,4.59,4.59,4.69,4.56,98496.0
2024-09-26,4.59,4.74,4.74,4.57,124677.0
2024-09-27,4.81,4.88,4.95,4.79,139498.0
2024-09-30,5.1,5.31,5.33,5.02,263152.0
2024-10-08,5.84,5.64,5.84,5.31,325170.0
2024-10-09,5.56,5.21,5.57,5.16,218667.0
2024-10-10,5.26,5.28,5.4,5.15,140044.0
2024-10-11,5.26,5.1,5.3,5.04,131160.0
2024-10-14,5.12,5.15,5.17,5.04,164152.0
2024-10-15,5.12,4.97,5.13,4.96,134433.0
2024-10-16,4.94,4.94,5.0,4.86,100407.0
2024-10-17,4.96,4.84,5.0,4.82,114688.0
2024-10-18,4.85,4.98,5.05,4.82,137108.0
2024-10-21,5.04,4.9,5.04,4.86,194416.0
2024-10-22,4.94,5.02,5.04,4.91,216829.0
2024-10-23,5.02,5.14,5.2,4.99,185284.0
2024-10-24,5.12,5.11,5.17,5.05,111797.0
2024-10-25,5.09,5.19,5.21,5.08,140811.0
2024-10-28,5.22,5.31,5.31,5.16,156182.0
2024-10-29,5.35,5.24,5.39,5.21,192021.0
2024-10-30,5.15,5.08,5.16,5.0,274052.0
2024-10-31,5.08,5.29,5.3,5.03,334004.0
2024-11-01,5.3,5.16,5.45,5.09,342179.0
2024-11-04,5.2,5.35,5.4,5.17,308367.0
2024-11-05,5.38,5.5,5.52,5.3,374418.0
2024-11-06,5.55,5.55,5.69,5.5,405789.0
2024-11-07,5.53,5.61,5.67,5.47,273534.0
2024-11-08,5.62,5.65,5.78,5.61,286411.0
2024-11-11,5.65,5.69,5.75,5.6,259294.0
2024-11-12,5.69,5.6,5.73,5.54,190610.0
2024-11-13,5.55,5.59,5.61,5.49,169281.0
2024-11-14,5.58,5.42,5.61,5.4,158445.0
2024-11-15,5.4,5.3,5.44,5.29,121979.0
2024-11-18,5.33,5.32,5.43,5.28,165511.0
2024-11-19,5.2,5.47,5.48,5.2,164603.0
2024-11-20,5.44,5.51,5.54,5.41,156239.0
2024-11-21,5.5,5.5,5.54,5.44,110955.0
2024-11-22,5.5,5.3,5.51,5.28,145984.0
2024-11-25,5.31,5.41,5.45,5.27,117788.0
2024-11-26,5.4,5.28,5.41,5.25,102224.0
2024-11-27,5.28,5.28,5.3,5.09,158993.0
2024-11-28,5.26,5.23,5.31,5.21,136224.0
2024-11-29,5.23,5.36,5.4,5.2,144244.0
2024-12-02,5.36,5.49,5.5,5.34,173786.0
2024-12-03,5.52,5.5,5.52,5.41,118540.0
2024-12-04,5.51,5.47,5.55,5.42,166155.0
2024-12-05,5.46,5.57,5.63,5.43,170013.0
2024-12-06,5.57,5.59,5.61,5.46,177255.0
2024-12-09,5.57,5.61,5.63,5.52,153832.0
2024-12-10,5.72,5.54,5.74,5.52,207886.0
2024-12-11,5.53,5.58,5.6,5.51,154016.0
2024-12-12,5.61,5.66,5.66,5.52,192161.0
2024-12-13,5.66,5.48,5.67,5.45,176577.0
2024-12-16,5.48,5.45,5.52,5.4,109106.0
2024-12-17,5.44,5.36,5.49,5.34,132120.0
2024-12-18,5.37,5.36,5.43,5.34,104432.0
2024-12-19,5.3,5.37,5.38,5.27,92984.0
2024-12-20,5.37,5.31,5.38,5.29,101052.0
2024-12-23,5.32,5.17,5.35,5.14,123444.0
2024-12-24,5.16,5.24,5.28,5.16,91368.0
2024-12-25,5.25,5.18,5.26,5.12,101486.0
2024-12-26,5.15,5.22,5.27,5.14,98508.0
2024-12-27,5.23,5.29,5.32,5.19,107438.0
2024-12-30,5.25,5.28,5.33,5.19,118158.0
2024-12-31,5.27,5.13,5.32,5.12,108047.0
2025-01-02,5.13,4.98,5.18,4.92,132319.0
2025-01-03,5.0,4.88,5.05,4.85,122266.0
2025-01-06,4.86,4.93,4.99,4.82,107091.0
2025-01-07,4.92,4.94,4.99,4.88,82430.0
2025-01-08,4.92,4.9,4.95,4.76,128665.0
2025-01-09,4.89,4.83,4.9,4.82,75918.0
2025-01-10,4.82,4.81,4.98,4.8,101543.0
2025-01-13,4.77,4.81,4.84,4.74,73393.0
2025-01-14,4.83,5.05,5.06,4.83,154355.0
2025-01-15,5.05,5.02,5.06,4.97,89971.0
2025-01-16,5.03,5.02,5.1,5.0,99264.0
2025-01-17,5.02,5.07,5.09,5.0,76037.0
2025-01-20,5.09,5.1,5.16,5.07,84137.0
2025-01-21,5.11,5.14,5.15,5.05,82501.0
2025-01-22,5.15,5.1,5.15,5.06,70660.0
2025-01-23,5.13,5.07,5.18,5.07,79459.0
2025-01-24,5.06,5.18,5.19,5.06,98576.0
2025-01-27,5.18,5.17,5.25,5.16,89116.0
2025-02-05,5.18,5.12,5.22,5.11,87965.0
2025-02-06,5.13,5.28,5.28,5.11,122055.0
2025-02-07,5.3,5.41,5.48,5.28,198660.0
2025-02-10,5.41,5.37,5.46,5.34,138550.0
2025-02-11,5.37,5.43,5.45,5.33,137548.0
2025-02-12,5.42,5.48,5.54,5.4,172592.0
2025-02-13,5.5,5.36,5.51,5.34,161929.0
2025-02-14,5.34,5.4,5.44,5.34,114775.0
2025-02-17,5.44,5.42,5.48,5.35,104160.0
2025-02-18,5.4,5.35,5.46,5.31,109165.0
2025-02-19,5.35,5.46,5.46,5.33,129698.0
2025-02-20,5.43,5.45,5.46,5.37,98928.0
2025-02-21,5.44,5.51,5.55,5.42,170802.0
2025-02-24,5.58,5.59,5.74,5.51,281539.0
2025-02-25,5.57,5.63,5.69,5.52,168523.0
2025-02-26,5.64,5.85,6.03,5.63,334647.0
2025-02-27,5.84,5.76,5.88,5.66,238123.0
2025-02-28,5.77,5.6,5.81,5.58,186652.0
2025-03-03,5.6,5.56,5.68,5.52,162229.0
2025-03-04,5.52,5.67,5.68,5.51,134746.0
2025-03-05,5.67,5.79,5.8,5.65,162235.0
2025-03-06,5.81,5.87,5.99,5.8,234631.0
2025-03-07,5.85,5.85,5.91,5.78,163211.0
2025-03-10,5.84,5.77,5.88,5.7,142550.0
2025-03-11,5.76,5.75,5.79,5.67,111308.0
2025-03-12,5.78,5.79,5.83,5.76,112384.0
2025-03-13,5.76,5.63,5.78,5.55,142400.0
2025-03-14,5.63,5.79,5.83,5.56,161243.0
2025-03-17,5.86,5.88,5.95,5.77,153994.0
2025-03-18,5.98,5.92,6.05,5.86,124063.0
2025-03-19,5.91,6.09,6.12,5.87,282272.0
2025-03-20,6.09,6.22,6.32,6.01,399423.0
2025-03-21,6.23,6.06,6.27,6.02,240479.0
2025-03-24,6.01,5.97,6.07,5.83,224763.0
2025-03-25,5.96,5.95,6.05,5.88,140731.0
2025-03-26,5.94,6.04,6.1,5.91,152597.0
2025-03-27,6.01,5.94,6.06,5.91,138489.0
2025-03-28,5.92,5.91,5.99,5.89,112632.0
2025-03-31,5.88,5.82,5.94,5.69,151674.0
2025-04-01,5.82,5.75,5.87,5.73,127975.0
2025-04-02,5.76,5.87,5.96,5.72,138157.0
2025-04-03,5.79,5.76,5.92,5.71,115588.0
2025-04-07,5.5,5.18,5.52,5.18,126965.0
2025-04-08,5.17,4.86,5.17,4.78,321414.0
2025-04-09,4.8,4.9,4.96,4.55,247021.0
2025-04-10,4.98,5.06,5.16,4.94,171750.0
2025-04-11,5.0,5.1,5.17,4.97,122010.0
2025-04-14,5.16,5.18,5.28,5.13,111907.0
2025-04-15,5.5,5.21,5.5,5.18,221684.0
2025-04-16,5.2,5.18,5.23,5.06,184468.0
2025-04-17,5.15,5.33,5.36,5.12,202050.0
2025-04-18,5.3,5.39,5.44,5.29,159862.0
2025-04-21,5.39,5.76,5.77,5.36,251820.0
2025-04-22,5.75,5.84,5.88,5.69,180079.0
2025-04-23,5.88,5.96,6.02,5.85,181753.0
