date,open,close,high,low,volume,volume.1
2022-05-19,3.63,3.69,3.72,3.6,71011.0,71011.0
2022-05-20,3.7,3.74,3.77,3.68,78580.0,78580.0
2022-05-23,3.75,3.84,3.86,3.72,70230.0,70230.0
2022-05-24,3.81,3.63,3.85,3.62,81680.0,81680.0
2022-05-25,3.65,3.76,3.78,3.62,72280.0,72280.0
2022-05-26,3.77,3.78,3.8,3.69,52302.0,52302.0
2022-05-27,3.76,3.78,3.8,3.71,51588.0,51588.0
2022-05-30,3.75,3.87,4.06,3.73,112934.0,112934.0
2022-05-31,3.82,3.87,3.93,3.81,74840.0,74840.0
2022-06-01,3.83,3.88,3.89,3.82,43328.0,43328.0
2022-06-02,3.87,3.87,3.88,3.82,32632.0,32632.0
2022-06-06,3.85,3.89,3.89,3.83,52624.0,52624.0
2022-06-07,3.88,3.92,3.94,3.78,68917.0,68917.0
2022-06-08,3.89,3.88,3.94,3.81,51367.0,51367.0
2022-06-09,3.88,3.79,3.9,3.78,53868.0,53868.0
2022-06-10,3.79,3.88,3.92,3.75,64545.0,64545.0
2022-06-13,3.87,3.87,3.93,3.82,53552.0,53552.0
2022-06-14,3.84,3.92,4.03,3.79,96497.0,96497.0
2022-06-15,3.92,3.84,3.97,3.83,83227.0,83227.0
2022-06-16,3.87,3.86,3.87,3.79,64932.0,64932.0
2022-06-17,3.82,3.83,3.85,3.78,44206.0,44206.0
2022-06-20,3.83,3.82,3.83,3.74,55882.0,55882.0
2022-06-21,3.82,3.76,3.83,3.73,44473.0,44473.0
2022-06-22,3.76,3.75,3.81,3.71,46257.0,46257.0
2022-06-23,3.73,3.75,3.76,3.68,49388.0,49388.0
2022-06-24,3.75,3.82,3.83,3.75,46419.0,46419.0
2022-06-27,3.82,3.8,3.83,3.78,43695.0,43695.0
2022-06-28,3.8,3.83,3.87,3.75,56355.0,56355.0
2022-06-29,3.83,3.76,3.85,3.74,47473.0,47473.0
2022-06-30,3.76,3.75,3.8,3.72,51023.0,51023.0
2022-07-01,3.77,3.81,3.85,3.7,66290.0,66290.0
2022-07-04,3.79,3.76,3.81,3.72,45481.0,45481.0
2022-07-05,3.78,3.82,3.85,3.72,66164.0,66164.0
2022-07-06,3.81,3.76,3.82,3.74,51470.0,51470.0
2022-07-07,3.8,3.77,3.8,3.71,42275.0,42275.0
2022-07-08,3.77,3.74,3.79,3.73,39664.0,39664.0
2022-07-11,3.72,3.63,3.74,3.56,71220.0,71220.0
2022-07-12,3.65,3.57,3.65,3.54,47136.0,47136.0
2022-07-13,3.57,3.6,3.63,3.5,49547.0,49547.0
2022-07-14,3.62,3.53,3.63,3.49,54691.0,54691.0
2022-07-15,3.49,3.49,3.52,3.42,49449.0,49449.0
2022-07-18,3.45,3.6,3.62,3.43,48181.0,48181.0
2022-07-19,3.58,3.67,3.7,3.58,35837.0,35837.0
2022-07-20,3.68,3.67,3.72,3.65,25048.0,25048.0
2022-07-21,3.67,3.66,3.69,3.64,22281.0,22281.0
2022-07-22,3.65,3.65,3.68,3.6,31316.0,31316.0
2022-07-25,3.65,3.64,3.69,3.62,26892.0,26892.0
2022-07-26,3.66,3.66,3.67,3.59,24122.0,24122.0
2022-07-27,3.65,3.68,3.71,3.63,36459.0,36459.0
2022-07-28,3.68,3.78,3.85,3.68,64691.0,64691.0
2022-07-29,3.77,3.86,3.97,3.75,112759.0,112759.0
2022-08-01,3.86,3.91,3.94,3.84,70999.0,70999.0
2022-08-02,3.89,3.7,3.9,3.66,78128.0,78128.0
2022-08-03,3.71,3.57,3.78,3.57,64698.0,64698.0
2022-08-04,3.58,3.71,3.71,3.58,43371.0,43371.0
2022-08-05,3.71,3.67,3.73,3.61,37349.0,37349.0
2022-08-08,3.65,3.69,3.7,3.63,32858.0,32858.0
2022-08-09,3.68,3.64,3.71,3.64,29571.0,29571.0
2022-08-10,3.64,3.66,3.69,3.6,25017.0,25017.0
2022-08-11,3.68,3.72,3.76,3.66,44905.0,44905.0
2022-08-12,3.75,3.8,3.88,3.71,71782.0,71782.0
2022-08-15,3.8,3.76,3.8,3.72,47296.0,47296.0
2022-08-16,3.79,3.83,3.91,3.75,57089.0,57089.0
2022-08-17,3.81,3.82,3.87,3.8,36581.0,36581.0
2022-08-18,3.8,3.76,3.83,3.75,37359.0,37359.0
2022-08-19,3.75,3.76,3.82,3.73,38922.0,38922.0
2022-08-22,3.78,3.77,3.79,3.7,32876.0,32876.0
2022-08-23,3.77,3.82,3.85,3.74,48117.0,48117.0
2022-08-24,3.82,3.87,3.9,3.78,99737.0,99737.0
2022-08-25,3.86,3.84,3.86,3.74,60724.0,60724.0
2022-08-26,3.84,3.85,3.92,3.82,54355.0,54355.0
2022-08-29,3.81,3.85,3.88,3.77,44106.0,44106.0
2022-08-30,3.85,3.84,3.9,3.78,38006.0,38006.0
2022-08-31,3.84,3.74,3.84,3.73,50452.0,50452.0
2022-09-01,3.74,3.71,3.76,3.7,34685.0,34685.0
2022-09-02,3.71,3.83,3.84,3.71,65556.0,65556.0
2022-09-05,3.83,3.89,3.91,3.8,62143.0,62143.0
2022-09-06,3.91,4.0,4.05,3.89,119376.0,119376.0
2022-09-07,4.0,4.0,4.07,3.97,57265.0,57265.0
2022-09-08,4.02,3.98,4.03,3.95,41673.0,41673.0
2022-09-09,3.98,3.96,4.01,3.92,36254.0,36254.0
2022-09-13,3.98,3.92,4.0,3.91,42304.0,42304.0
2022-09-14,3.92,3.87,3.92,3.84,40073.0,40073.0
2022-09-15,3.89,3.77,3.9,3.73,49134.0,49134.0
2022-09-16,3.78,3.67,3.78,3.65,51879.0,51879.0
2022-09-19,3.67,3.59,3.7,3.55,34096.0,34096.0
2022-09-20,3.59,3.6,3.65,3.57,31073.0,31073.0
2022-09-21,3.59,3.65,3.67,3.53,39592.0,39592.0
2022-09-22,3.66,3.6,3.68,3.59,28578.0,28578.0
2022-09-23,3.61,3.55,3.61,3.51,40050.0,40050.0
2022-09-26,3.55,3.44,3.55,3.41,41265.0,41265.0
2022-09-27,3.45,3.49,3.49,3.39,27876.0,27876.0
2022-09-28,3.49,3.38,3.49,3.38,24969.0,24969.0
2022-09-29,3.41,3.37,3.44,3.33,28426.0,28426.0
2022-09-30,3.37,3.37,3.42,3.34,26122.0,26122.0
2022-10-10,3.38,3.3,3.42,3.27,37476.0,37476.0
