date,open,close,high,low,volume,volume.1
2022-04-28,1.53,1.46,1.56,1.46,76446.0,76446.0
2022-04-29,1.44,1.44,1.49,1.39,84454.0,84454.0
2022-05-05,1.44,1.51,1.51,1.41,71164.0,71164.0
2022-05-06,1.51,1.59,1.59,1.48,77525.0,77525.0
2022-05-09,1.59,1.59,1.66,1.55,63080.0,63080.0
2022-05-10,1.6,1.67,1.67,1.58,76175.0,76175.0
2022-05-11,1.75,1.75,1.75,1.7,120045.0,120045.0
2022-05-12,1.78,1.78,1.83,1.71,113066.0,113066.0
2022-05-13,1.78,1.73,1.78,1.71,49313.0,49313.0
2022-05-16,1.73,1.73,1.76,1.72,25125.0,25125.0
2022-05-17,1.72,1.73,1.76,1.68,47191.0,47191.0
2022-05-18,1.74,1.74,1.82,1.7,98527.0,98527.0
2022-05-19,1.71,1.76,1.79,1.71,61815.0,61815.0
2022-05-20,1.75,1.74,1.81,1.73,59657.0,59657.0
2022-05-23,1.74,1.73,1.76,1.71,27922.0,27922.0
2022-05-24,1.72,1.69,1.74,1.69,25003.0,25003.0
2022-05-25,1.67,1.75,1.77,1.66,54529.0,54529.0
2022-05-26,1.74,1.75,1.76,1.72,22048.0,22048.0
2022-05-27,1.76,1.75,1.76,1.73,18540.0,18540.0
2022-05-30,1.74,1.75,1.76,1.73,18611.0,18611.0
2022-05-31,1.77,1.78,1.83,1.76,30568.0,30568.0
2022-06-01,1.77,1.75,1.77,1.74,21925.0,21925.0
2022-06-02,1.75,1.73,1.76,1.73,25219.0,25219.0
2022-06-06,1.72,1.69,1.74,1.68,67657.0,67657.0
2022-06-07,1.69,1.73,1.73,1.69,33026.0,33026.0
2022-06-08,1.73,1.74,1.75,1.7,34611.0,34611.0
2022-06-09,1.74,1.72,1.75,1.71,20700.0,20700.0
2022-06-10,1.72,1.74,1.75,1.71,26507.0,26507.0
2022-06-13,1.72,1.76,1.8,1.72,48158.0,48158.0
2022-06-14,1.77,1.85,1.85,1.75,67208.0,67208.0
2022-06-15,1.9,1.91,1.94,1.86,121775.0,121775.0
2022-06-16,1.89,2.01,2.01,1.87,94389.0,94389.0
2022-06-17,2.04,1.94,2.07,1.92,111672.0,111672.0
2022-06-20,1.93,1.95,1.96,1.89,55535.0,55535.0
2022-06-21,1.94,1.91,1.95,1.91,47247.0,47247.0
2022-06-22,1.91,2.01,2.01,1.89,89127.0,89127.0
2022-06-23,2.01,1.99,2.04,1.97,60052.0,60052.0
2022-06-24,2.0,2.09,2.09,2.0,48640.0,48640.0
2022-06-27,2.15,2.13,2.17,2.07,71394.0,71394.0
2022-06-28,2.14,2.24,2.24,2.14,64605.0,64605.0
2022-06-29,2.28,2.3,2.35,2.22,145737.0,145737.0
2022-06-30,2.34,2.41,2.42,2.32,130648.0,130648.0
2022-07-01,2.33,2.29,2.39,2.29,151177.0,151177.0
2022-07-04,2.32,2.4,2.4,2.26,87153.0,87153.0
2022-07-05,2.39,2.49,2.52,2.39,98968.0,98968.0
2022-07-06,2.47,2.49,2.56,2.41,65282.0,65282.0
2022-07-07,2.47,2.47,2.53,2.46,54425.0,54425.0
2022-07-08,2.48,2.52,2.57,2.48,44669.0,44669.0
2022-07-11,2.5,2.48,2.5,2.43,59667.0,59667.0
2022-07-12,2.49,2.48,2.54,2.44,41617.0,41617.0
2022-07-13,2.46,2.36,2.46,2.36,100700.0,100700.0
2022-07-14,2.36,2.34,2.41,2.34,60260.0,60260.0
2022-07-15,2.34,2.37,2.38,2.27,64487.0,64487.0
2022-07-18,2.37,2.37,2.45,2.31,77358.0,77358.0
2022-07-19,2.38,2.48,2.48,2.38,86754.0,86754.0
2022-07-20,2.49,2.48,2.52,2.44,62626.0,62626.0
2022-07-21,2.5,2.45,2.5,2.45,37091.0,37091.0
2022-07-22,2.49,2.49,2.5,2.43,30889.0,30889.0
2022-07-25,2.47,2.53,2.55,2.47,65626.0,65626.0
2022-07-26,2.53,2.55,2.56,2.48,47466.0,47466.0
2022-07-27,2.54,2.51,2.54,2.5,33438.0,33438.0
2022-07-28,2.51,2.5,2.53,2.5,28220.0,28220.0
2022-07-29,2.48,2.44,2.5,2.44,44449.0,44449.0
2022-08-01,2.41,2.42,2.46,2.4,41163.0,41163.0
2022-08-02,2.39,2.35,2.42,2.3,95617.0,95617.0
2022-08-03,2.33,2.41,2.44,2.27,56171.0,56171.0
2022-08-04,2.42,2.48,2.48,2.41,64486.0,64486.0
2022-08-05,2.49,2.48,2.6,2.44,133797.0,133797.0
2022-08-08,2.45,2.45,2.46,2.39,54252.0,54252.0
2022-08-09,2.42,2.46,2.46,2.41,19090.0,19090.0
2022-08-10,2.46,2.48,2.49,2.43,18757.0,18757.0
2022-08-11,2.49,2.47,2.49,2.46,15335.0,15335.0
2022-08-12,2.45,2.47,2.48,2.44,30346.0,30346.0
2022-08-15,2.46,2.46,2.47,2.42,20055.0,20055.0
2022-08-16,2.47,2.43,2.47,2.4,30085.0,30085.0
2022-08-17,2.43,2.45,2.48,2.42,25109.0,25109.0
2022-08-18,2.47,2.45,2.47,2.42,17729.0,17729.0
2022-08-19,2.45,2.4,2.47,2.33,74150.0,74150.0
2022-08-22,2.42,2.32,2.42,2.3,61765.0,61765.0
2022-08-23,2.32,2.35,2.36,2.3,32380.0,32380.0
2022-08-24,2.35,2.33,2.35,2.29,33837.0,33837.0
2022-08-25,2.33,2.32,2.35,2.29,33213.0,33213.0
2022-08-26,2.31,2.33,2.33,2.31,14297.0,14297.0
2022-08-29,2.31,2.32,2.33,2.3,17129.0,17129.0
2022-08-30,2.3,2.3,2.32,2.27,20646.0,20646.0
2022-08-31,2.29,2.26,2.3,2.2,35947.0,35947.0
2022-09-01,2.25,2.25,2.29,2.23,18116.0,18116.0
2022-09-02,2.23,2.36,2.36,2.23,62347.0,62347.0
2022-09-05,2.43,2.43,2.47,2.36,64992.0,64992.0
2022-09-06,2.44,2.44,2.49,2.39,60377.0,60377.0
2022-09-07,2.44,2.46,2.47,2.42,25876.0,25876.0
2022-09-08,2.46,2.42,2.47,2.4,25380.0,25380.0
2022-09-09,2.42,2.42,2.43,2.36,18956.0,18956.0
2022-09-13,2.43,2.39,2.43,2.36,23006.0,23006.0
2022-09-14,2.38,2.42,2.5,2.37,49219.0,49219.0
2022-09-15,2.42,2.41,2.43,2.37,21105.0,21105.0
2022-09-16,2.39,2.4,2.42,2.37,12442.0,12442.0
2022-09-19,2.4,2.4,2.41,2.37,20692.0,20692.0
2022-09-20,2.39,2.43,2.45,2.38,24344.0,24344.0
2022-09-21,2.42,2.5,2.55,2.39,69814.0,69814.0
2022-09-22,2.48,2.47,2.55,2.46,37931.0,37931.0
2022-09-23,2.47,2.47,2.53,2.44,30864.0,30864.0
2022-09-26,2.48,2.35,2.48,2.35,55011.0,55011.0
2022-09-27,2.35,2.37,2.4,2.35,16953.0,16953.0
2022-09-28,2.38,2.38,2.38,2.35,18181.0,18181.0
2022-09-29,2.38,2.35,2.38,2.35,10666.0,10666.0
2022-09-30,2.35,2.39,2.42,2.35,16598.0,16598.0
2022-10-10,2.39,2.35,2.4,2.35,16382.0,16382.0
2022-10-11,2.36,2.35,2.39,2.28,23003.0,23003.0
2022-10-12,2.35,2.38,2.38,2.34,15746.0,15746.0
2022-10-13,2.36,2.36,2.4,2.35,9067.0,9067.0
2022-10-14,2.36,2.37,2.38,2.36,13537.0,13537.0
2022-10-17,2.37,2.38,2.38,2.36,12488.0,12488.0
2022-10-18,2.38,2.44,2.48,2.38,33837.0,33837.0
2022-10-19,2.46,2.43,2.47,2.42,26895.0,26895.0
2022-10-20,2.45,2.48,2.51,2.44,30844.0,30844.0
2022-10-21,2.46,2.43,2.48,2.42,22689.0,22689.0
2022-10-24,2.44,2.44,2.46,2.41,23721.0,23721.0
2022-10-25,2.44,2.42,2.47,2.41,13790.0,13790.0
2022-10-26,2.44,2.38,2.44,2.37,27367.0,27367.0
2022-10-27,2.38,2.44,2.46,2.37,24298.0,24298.0
2022-10-28,2.43,2.39,2.46,2.39,23283.0,23283.0
2022-10-31,2.39,2.4,2.43,2.38,16079.0,16079.0
2022-11-01,2.41,2.42,2.44,2.39,23112.0,23112.0
2022-11-02,2.43,2.44,2.46,2.41,30881.0,30881.0
2022-11-03,2.44,2.45,2.47,2.42,21765.0,21765.0
