date,open,close,high,low,volume,volume.1
2022-05-19,5.26,5.64,5.78,5.25,124939.0,124939.0
2022-05-20,5.65,5.61,5.88,5.53,74699.0,74699.0
2022-05-23,5.61,5.7,5.7,5.55,57795.0,57795.0
2022-05-24,5.66,5.41,5.7,5.4,64898.0,64898.0
2022-05-25,5.31,5.55,5.56,5.31,38133.0,38133.0
2022-05-26,5.52,5.57,5.62,5.45,41365.0,41365.0
2022-05-27,5.64,5.62,5.68,5.54,39452.0,39452.0
2022-05-30,5.64,5.75,5.79,5.56,69664.0,69664.0
2022-05-31,5.76,5.79,5.95,5.76,47714.0,47714.0
2022-06-01,5.77,5.84,5.87,5.76,45230.0,45230.0
2022-06-02,5.79,5.88,5.91,5.79,49180.0,49180.0
2022-06-06,5.96,6.02,6.04,5.86,55563.0,55563.0
2022-06-07,6.06,6.15,6.49,6.02,161328.0,161328.0
2022-06-08,6.02,6.03,6.12,5.87,110804.0,110804.0
2022-06-09,5.97,5.88,6.05,5.83,62615.0,62615.0
2022-06-10,5.8,5.94,5.98,5.8,40813.0,40813.0
2022-06-13,5.86,5.88,5.95,5.79,48982.0,48982.0
2022-06-14,5.88,5.88,5.89,5.7,47440.0,47440.0
2022-06-15,5.86,5.85,5.97,5.83,49236.0,49236.0
2022-06-16,5.9,5.88,5.96,5.83,37034.0,37034.0
2022-06-17,6.47,6.47,6.47,6.47,53002.0,53002.0
2022-06-20,7.12,7.12,7.12,7.0,213704.0,213704.0
2022-06-21,7.12,6.83,7.5,6.7,590422.0,590422.0
2022-06-22,6.61,7.06,7.15,6.61,457201.0,457201.0
2022-06-23,6.89,6.83,6.96,6.72,308504.0,308504.0
2022-06-24,7.51,7.51,7.51,7.4,303379.0,303379.0
2022-06-27,7.51,7.51,8.13,7.37,682544.0,682544.0
2022-06-28,7.3,7.37,7.63,7.21,405102.0,405102.0
2022-06-29,7.1,6.69,7.2,6.67,370212.0,370212.0
2022-06-30,6.69,6.74,6.77,6.6,194581.0,194581.0
2022-07-01,6.64,6.61,6.71,6.5,143767.0,143767.0
2022-07-04,6.52,6.67,6.67,6.4,149772.0,149772.0
2022-07-05,6.65,6.84,6.87,6.54,186213.0,186213.0
2022-07-06,6.81,6.61,6.83,6.45,142362.0,142362.0
2022-07-07,6.61,6.65,6.68,6.46,100263.0,100263.0
2022-07-08,6.65,6.87,6.91,6.52,200145.0,200145.0
2022-07-11,6.9,6.88,6.99,6.74,154546.0,154546.0
2022-07-12,6.78,6.59,6.84,6.57,113958.0,113958.0
2022-07-13,6.55,6.73,6.8,6.5,110870.0,110870.0
2022-07-14,6.73,6.75,6.85,6.66,98873.0,98873.0
2022-07-15,6.68,6.45,6.68,6.45,129696.0,129696.0
2022-07-18,6.46,6.82,6.85,6.46,157357.0,157357.0
2022-07-19,6.89,6.93,7.16,6.87,190142.0,190142.0
2022-07-20,6.94,6.94,6.99,6.79,124818.0,124818.0
2022-07-21,6.96,7.11,7.17,6.96,219830.0,219830.0
2022-07-22,7.15,7.0,7.25,6.92,148060.0,148060.0
2022-07-25,6.95,6.72,7.0,6.7,103664.0,103664.0
2022-07-26,6.8,6.91,6.92,6.57,98305.0,98305.0
2022-07-27,7.0,7.11,7.11,6.86,136382.0,136382.0
2022-07-28,7.05,7.0,7.17,6.97,114567.0,114567.0
2022-07-29,7.13,7.24,7.7,7.12,377357.0,377357.0
2022-08-01,7.61,7.27,7.7,7.26,324984.0,324984.0
2022-08-02,7.23,6.81,7.24,6.8,277163.0,277163.0
2022-08-03,6.89,6.72,7.16,6.62,217756.0,217756.0
2022-08-04,6.7,6.73,6.81,6.53,127785.0,127785.0
2022-08-05,6.73,6.93,7.1,6.73,163372.0,163372.0
2022-08-08,6.86,7.15,7.19,6.72,165783.0,165783.0
2022-08-09,7.2,7.6,7.78,7.16,399255.0,399255.0
2022-08-10,7.74,8.34,8.36,7.7,634905.0,634905.0
2022-08-11,8.01,8.72,8.94,8.0,612608.0,612608.0
2022-08-12,8.56,8.45,9.09,8.37,422710.0,422710.0
2022-08-15,8.44,8.4,8.7,8.15,296076.0,296076.0
2022-08-16,8.54,8.63,8.82,8.29,331047.0,331047.0
2022-08-17,8.85,8.94,9.15,8.63,365783.0,365783.0
2022-08-18,8.8,8.98,9.13,8.66,300567.0,300567.0
2022-08-19,9.0,9.05,9.38,8.99,298068.0,298068.0
2022-08-22,9.06,9.26,9.6,8.99,297594.0,297594.0
2022-08-23,9.04,9.14,9.55,9.03,284876.0,284876.0
2022-08-24,9.16,8.69,9.18,8.66,212799.0,212799.0
2022-08-25,8.85,8.52,8.85,8.38,139178.0,139178.0
2022-08-26,8.56,8.44,8.6,8.3,119077.0,119077.0
2022-08-29,8.28,8.51,8.66,8.2,108300.0,108300.0
2022-08-30,8.49,8.25,8.53,8.19,100722.0,100722.0
2022-08-31,8.22,7.43,8.27,7.43,208920.0,208920.0
2022-09-01,7.4,7.27,7.5,7.23,122629.0,122629.0
2022-09-02,7.32,7.27,7.44,7.17,108281.0,108281.0
2022-09-05,7.25,7.42,7.49,7.23,107022.0,107022.0
2022-09-06,7.43,7.59,7.65,7.22,119807.0,119807.0
2022-09-07,7.54,7.61,7.76,7.43,119755.0,119755.0
2022-09-08,7.62,7.54,7.81,7.5,129080.0,129080.0
2022-09-09,7.53,7.37,7.69,7.25,90525.0,90525.0
2022-09-13,7.35,7.24,7.47,7.18,101645.0,101645.0
2022-09-14,7.08,7.05,7.24,6.95,115201.0,115201.0
2022-09-15,7.1,6.67,7.13,6.56,125667.0,125667.0
2022-09-16,6.67,6.39,6.71,6.37,86226.0,86226.0
2022-09-19,6.43,6.26,6.48,6.2,105723.0,105723.0
2022-09-20,6.4,6.46,6.56,6.31,103427.0,103427.0
2022-09-21,6.45,6.42,6.46,6.3,67212.0,67212.0
2022-09-22,6.45,6.51,6.55,6.36,89552.0,89552.0
2022-09-23,6.49,6.34,6.54,6.26,66682.0,66682.0
2022-09-26,6.28,6.26,6.43,6.18,79234.0,79234.0
2022-09-27,6.36,6.36,6.48,6.26,78382.0,78382.0
2022-09-28,6.38,6.13,6.46,6.13,76451.0,76451.0
2022-09-29,6.21,6.13,6.27,6.07,69732.0,69732.0
2022-09-30,6.11,6.02,6.12,6.0,86139.0,86139.0
2022-10-10,6.09,5.85,6.12,5.8,105587.0,105587.0
2022-10-11,5.85,5.92,5.98,5.77,63889.0,63889.0
2022-10-12,5.92,6.22,6.29,5.86,109359.0,109359.0
2022-10-13,6.18,6.27,6.38,6.17,92833.0,92833.0
2022-10-14,6.33,6.41,6.47,6.21,82564.0,82564.0
2022-10-17,6.4,6.51,6.56,6.28,104300.0,104300.0
2022-10-18,6.53,6.52,6.61,6.44,76475.0,76475.0
2022-10-19,6.66,6.51,6.66,6.48,73005.0,73005.0
2022-10-20,6.45,6.5,6.54,6.29,95690.0,95690.0
2022-10-21,6.45,6.46,6.55,6.39,86349.0,86349.0
2022-10-24,6.48,6.36,6.58,6.33,76501.0,76501.0
2022-10-25,6.45,6.48,6.55,6.27,110801.0,110801.0
2022-10-26,6.4,6.55,6.55,6.38,97572.0,97572.0
2022-10-27,6.54,6.38,6.66,6.38,97413.0,97413.0
2022-10-28,6.41,6.08,6.42,6.05,87448.0,87448.0
2022-10-31,6.18,6.09,6.27,6.07,92208.0,92208.0
2022-11-01,6.11,6.45,6.45,6.11,98426.0,98426.0
2022-11-02,6.47,6.51,6.55,6.44,66598.0,66598.0
2022-11-03,6.6,6.82,6.83,6.56,159046.0,159046.0
2022-11-04,6.82,6.83,6.86,6.7,147110.0,147110.0
2022-11-07,6.85,6.77,6.92,6.73,99152.0,99152.0
2022-11-08,6.79,6.73,6.83,6.69,70497.0,70497.0
2022-11-09,6.75,6.66,6.76,6.61,59812.0,59812.0
2022-11-10,6.64,6.54,6.66,6.53,68110.0,68110.0
2022-11-11,6.66,6.55,6.7,6.53,78072.0,78072.0
2022-11-14,6.59,6.47,6.63,6.4,102953.0,102953.0
2022-11-15,6.49,6.65,6.66,6.4,81768.0,81768.0
2022-11-16,6.7,6.66,6.72,6.56,103471.0,103471.0
2022-11-17,6.66,6.51,6.67,6.43,99005.0,99005.0
2022-11-18,6.55,6.47,6.58,6.44,60698.0,60698.0
2022-11-21,6.44,6.53,6.54,6.41,60752.0,60752.0
2022-11-22,6.57,6.36,6.57,6.32,82272.0,82272.0
2022-11-23,6.38,6.53,6.54,6.19,109098.0,109098.0
2022-11-24,6.49,6.44,6.54,6.42,62227.0,62227.0
2022-11-25,6.45,6.3,6.47,6.3,56670.0,56670.0
2022-11-28,6.26,6.31,6.33,6.17,53769.0,53769.0
2022-11-29,6.32,6.38,6.41,6.27,53694.0,53694.0
2022-11-30,6.39,6.41,6.55,6.37,68940.0,68940.0
2022-12-01,6.43,6.45,6.53,6.43,64837.0,64837.0
2022-12-02,6.45,6.64,6.67,6.43,119909.0,119909.0
2022-12-05,6.65,6.68,6.71,6.59,108460.0,108460.0
2022-12-06,6.71,6.58,6.74,6.56,71897.0,71897.0
2022-12-07,6.55,6.53,6.61,6.48,59510.0,59510.0
2022-12-08,6.52,6.58,6.65,6.45,77778.0,77778.0
2022-12-09,6.58,6.51,6.6,6.49,49722.0,49722.0
2022-12-12,6.55,6.46,6.56,6.38,70375.0,70375.0
2022-12-13,6.45,6.37,6.5,6.35,55640.0,55640.0
2022-12-14,6.34,6.34,6.41,6.3,50232.0,50232.0
2022-12-15,6.37,6.43,6.44,6.3,47942.0,47942.0
2022-12-16,6.43,6.3,6.43,6.3,49952.0,49952.0
2022-12-19,6.26,6.13,6.31,6.11,58926.0,58926.0
2022-12-20,6.17,6.27,6.32,6.08,73922.0,73922.0
2022-12-21,6.8,6.59,6.9,6.55,547542.0,547542.0
2022-12-22,6.55,6.42,6.75,6.35,371802.0,371802.0
2022-12-23,6.28,6.15,6.39,6.13,234755.0,234755.0
2022-12-26,6.11,6.6,6.68,6.11,272859.0,272859.0
2022-12-27,6.6,6.61,6.68,6.49,179846.0,179846.0
2022-12-28,6.58,6.53,6.64,6.44,127829.0,127829.0
2022-12-29,6.51,6.27,6.52,6.27,120159.0,120159.0
2022-12-30,6.3,6.25,6.35,6.19,95544.0,95544.0
2023-01-03,6.23,6.41,6.46,6.16,99804.0,99804.0
2023-01-04,6.39,6.36,6.46,6.33,87113.0,87113.0
2023-01-05,6.36,6.5,6.52,6.29,112631.0,112631.0
2023-01-06,6.5,6.62,6.84,6.49,204394.0,204394.0
2023-01-09,6.73,6.7,6.85,6.61,163521.0,163521.0
2023-01-10,6.8,6.78,6.85,6.7,125926.0,125926.0
2023-01-11,6.81,6.6,6.82,6.58,95997.0,95997.0
2023-01-12,6.62,6.59,6.7,6.58,70414.0,70414.0
2023-01-13,6.59,6.52,6.62,6.47,82628.0,82628.0
2023-01-16,6.55,6.58,6.64,6.41,84940.0,84940.0
2023-01-17,6.6,6.55,6.67,6.53,72739.0,72739.0
2023-01-18,6.57,6.6,6.65,6.52,64948.0,64948.0
2023-01-19,6.56,6.5,6.58,6.44,93733.0,93733.0
2023-01-20,6.54,6.64,6.66,6.5,86739.0,86739.0
2023-01-30,6.68,6.71,6.8,6.68,142837.0,142837.0
2023-01-31,6.68,6.75,6.77,6.54,145554.0,145554.0
2023-02-01,6.75,7.05,7.12,6.73,273872.0,273872.0
2023-02-02,6.97,6.88,7.03,6.87,198356.0,198356.0
2023-02-03,6.85,6.96,7.05,6.68,215552.0,215552.0
2023-02-06,6.85,6.84,6.93,6.79,137830.0,137830.0
2023-02-07,6.82,6.92,6.94,6.81,127717.0,127717.0
2023-02-08,6.93,6.85,6.98,6.82,123061.0,123061.0
2023-02-09,6.83,6.96,7.01,6.77,165227.0,165227.0
2023-02-10,6.95,7.0,7.28,6.88,225224.0,225224.0
2023-02-13,7.05,6.97,7.07,6.91,146559.0,146559.0
2023-02-14,6.96,7.02,7.07,6.9,163819.0,163819.0
2023-02-15,6.98,6.91,7.01,6.87,137523.0,137523.0
2023-02-16,6.9,6.67,6.9,6.59,175208.0,175208.0
2023-02-17,6.65,6.59,6.73,6.58,90135.0,90135.0
2023-02-20,6.57,6.66,6.67,6.57,68568.0,68568.0
