date,open,close,high,low,volume,volume.1
2022-05-17,4.86,4.86,4.94,4.76,226609.0,226609.0
2022-05-18,4.79,4.95,5.04,4.79,251482.0,251482.0
2022-05-19,4.85,5.09,5.22,4.83,300608.0,300608.0
2022-05-20,5.02,5.14,5.18,5.01,223847.0,223847.0
2022-05-23,5.09,5.25,5.34,5.07,254744.0,254744.0
2022-05-24,5.23,5.07,5.68,5.07,341001.0,341001.0
2022-05-25,5.17,5.3,5.44,4.99,321719.0,321719.0
2022-05-26,5.25,5.21,5.38,5.14,216396.0,216396.0
2022-05-27,5.19,5.17,5.25,5.09,151196.0,151196.0
2022-05-30,5.2,5.23,5.36,5.18,163439.0,163439.0
2022-05-31,5.15,5.41,5.51,5.13,293594.0,293594.0
2022-06-01,5.35,5.34,5.45,5.29,169442.0,169442.0
2022-06-02,5.32,5.87,5.87,5.28,399395.0,399395.0
2022-06-06,5.91,5.72,5.91,5.56,468314.0,468314.0
2022-06-07,5.62,5.51,5.67,5.42,306778.0,306778.0
2022-06-08,5.52,5.38,5.53,5.29,237017.0,237017.0
2022-06-09,5.39,5.28,5.48,5.21,219864.0,219864.0
2022-06-10,5.19,5.3,5.4,5.11,204477.0,204477.0
2022-06-13,5.22,5.47,5.55,5.22,297813.0,297813.0
2022-06-14,5.45,5.54,5.6,5.3,274744.0,274744.0
2022-06-15,5.48,5.36,5.53,5.34,228197.0,228197.0
2022-06-16,5.33,5.55,5.73,5.33,376808.0,376808.0
2022-06-17,5.47,5.46,5.73,5.36,261866.0,261866.0
2022-06-20,5.45,5.41,5.55,5.38,207848.0,207848.0
2022-06-21,5.4,5.2,5.4,5.13,263473.0,263473.0
2022-06-22,5.2,5.07,5.22,5.06,142087.0,142087.0
2022-06-23,5.05,5.09,5.11,4.94,140887.0,140887.0
2022-06-24,5.08,5.09,5.12,5.01,110638.0,110638.0
2022-06-27,5.07,5.1,5.17,5.07,105152.0,105152.0
2022-06-28,5.08,5.1,5.12,5.03,97417.0,97417.0
2022-06-29,5.11,4.97,5.11,4.97,127315.0,127315.0
2022-06-30,4.98,4.97,5.05,4.96,80345.0,80345.0
2022-07-01,4.95,4.93,5.01,4.93,78054.0,78054.0
2022-07-04,4.93,4.98,4.99,4.9,80142.0,80142.0
2022-07-05,4.98,4.87,4.99,4.82,111548.0,111548.0
2022-07-06,4.83,4.76,4.87,4.72,94773.0,94773.0
2022-07-07,4.76,4.83,4.85,4.76,58517.0,58517.0
2022-07-08,4.81,4.83,4.86,4.79,60919.0,60919.0
2022-07-11,4.96,4.83,4.98,4.81,78580.0,78580.0
2022-07-12,4.81,4.86,4.9,4.8,77377.0,77377.0
2022-07-13,4.81,4.89,4.92,4.8,56955.0,56955.0
2022-07-14,4.82,4.71,4.85,4.7,92882.0,92882.0
2022-07-15,4.66,4.49,4.73,4.49,98736.0,98736.0
2022-07-18,4.6,4.86,4.94,4.54,211674.0,211674.0
2022-07-19,4.75,4.79,4.84,4.75,121350.0,121350.0
2022-07-20,4.79,4.79,4.8,4.75,65940.0,65940.0
2022-07-21,4.79,4.79,4.83,4.75,66624.0,66624.0
2022-07-22,4.8,4.74,4.81,4.69,69990.0,69990.0
2022-07-25,4.78,4.7,4.78,4.68,40234.0,40234.0
